last_name,first_name
Adelman,Dan
Agnew,Mark
Akbarpour,Mohammad
Alderucci,Dean
Aliber,Robert
Altig,David
Ata,Baris
Ball,Ray
Barrios,John
Barry,Brian
Bartels,Daniel
Becker,Selwyn
Belavina,Elena
Belton,Terrence
Berger,Philip
Bertrand,Marianne
Betina,Raghu
Birge,John
Blumberg,Jason
Born,Laura
Bryan,Christopher
Budish,Eric
Bulger,Brian
Bunch,Gregory
Burt,Ronald
Buser,Stephen
Caldentey,Rene
Candogan,Ozan
Carlin,Bruce
Carlton,Dennis
Caruso,Heather
Caruso,Eugene
Carvalho,Carlos
Chintagunta,Pradeep
Chookaszian,Dennis
Christensen,Hans
Chu,Johan
Cochrane,John
Coe,Brian
Cong,Lin William
Constantinides,George
Covert,Thomas
Creal,Drew
Daljord,Oeystein
Davis,Harry
Davis,Steven
Davis,Scott
DeHoratius,Nicole
Deutsch,Waverly
Dhar,Sanjay
Diamond,Douglas
Dingel,Jonathan
Dizon-Ross,Rebecca
Dubé,Jean-Pierre
Eisenstein,Donald
Engel,Ellen
Epley,Nicholas
Eppen,Gary
Erickson,Merle
Faberman,Jason
Fama,Eugene
Farrell,Max
Fischer,Steven
Fishbach,Ayelet
Fitzgerald,Kathleen
Frankel,Alexander
Frenzen,Jonathan
Gallemore,John
Gao,Pingyang
Garicano,Luis
Gerakos,Joseph
Gertner,Robert
Gibbs,Michael
Giglio,Stefano
Gilula,Zvi
Ginzel,Linda
Goolsbee,Austan
Gould,John
Gramacy,Robert
Granja,Joao
Grossman,Caroline
Guerrieri,Veronica
Gupta,Varun
Hachem,Kinda
Hachikian,Christina
Hadlock,Charles
Hahn,P.
Hamada,Robert
Hansen,Christian
Harris,Milton
Hartzmark,Samuel
Hassan,Tarek
Hastie,Reid
He,Zhiguo
Heaton,John
Heltzer,Jason
Hitsch,Günter
Hornbeck,Richard
Hsee,Christopher
Hsieh,Chang-Tai
Huizinga,John
Hurst,Erik
Jenkins,Richard
Kamenica,Emir
Kaplan,Steven
Karabarbounis,Loukas
Kashyap,Anil
Kelly,Bryan
Klayman,Joshua
Kleymenova,Anya
Knez,Marc
Kolar,Mladen
Kole,Stacey
Krohn,Christopher
Kroszner,Randall
Kumar,Sunil
Leftwich,Richard
Leuz,Christian
Linnainmaa,Juhani
Lucas,Brian
Lucas,Stuart
Lyman,Lindsey
Madansky,Albert
Maffett,Mark
Mahoney,Neale
Marciano,Anthony
Marciano,Sonia
Martin,R.
Matvos,Gregor
McCulloch,Robert
McGill,Ann
McGowan,Christopher
McKinney,John
Meadow,Scott
Middlebrooks,Arthur
Minnis,Michael
Misra,Sanjog
Mohan,Lil
Morrissette,Stephen
Moskowitz,Tobias
Moyer,Mike
Murphy,Kevin
Muscarella,Chris
Neiman,Brent
Nikolaev,Valeri
Nosko,Chris
Nussbaum,A.
O'Brien,Ed
O'Connor,Brian
Ossa,Ralph
Pagliari,Joseph
Panageas,Stavros
Parker,Rodney
Pastor,Lubos
Peltzman,Sam
Picker,Randal
Pogrund,David
Polson,Nicholas
Ponticelli,Jacopo
Pontikes,Elizabeth
Pope,Devin
Prendergast,Canice
Puri,Radhika
Rajan,Raghuram
Rao,Anita
Risen,Jane
Rock,Kevin
Rollert,John
Rolnik,Guy
Rosenberg,Robert
Rudnick,Ellen
Russell,Jeffrey
Ryan,Christopher
Sandikçi,Burhaneddin
Sapra,Haresh
Schrage,Linus
Schrager,James
Seru,Amit
Shah,Anuj
Shapiro,Bradley
Sharkey,Amanda
Shefi,Yoad
Shivakumar,Ram
Shue,Kelly
Siebert,Ralph
Skinner,Douglas
Small,David
Smith,Abbie
Soffer,Leonard
Stole,Lars
Stromberg,Per
Sufi,Amir
Sussman,Abigail
Syverson,Chad
Taddy,Matt
Talhelm,Thomas
Tebbe,Mark
Terrill,Craig
Thaler,Richard
Tiao,George
Topel,Robert
Tsay,Ruey
Tsoutsoura,Margarita
Urminsky,Oleg
Vavra,Joseph
Veronesi,Pietro
Vishny,Robert
Weber,Michael
Weil,Roman
Weiss,Ira
Weitzman,Hal
Winberry,Thomas
Wittenbrink,Bernd
Wollmann,Thomas
Wortmann,Craig
Wu,George
Wu,Jing
Xiu,Dacheng
Yenkey,Christopher
Zakolyukina,Anastasia
Zangwill,Willard
Zidar,Owen
Zimmerman,Seth
Zingales,Luigi
Zmijewski,Mark
Zonis,Marvin
Zwick,Eric
